species,gait,target_speed_ms,stiffness_Nm_rad,stiffness_normalised,sum_tau_norm_sq,peak_tau_norm,p95_tau_norm,pct_stride_above_80,pct_stride_above_90,positive_joint_work_J,solver_success,notes
cheetah,rotary,10,18.6319,0.409492,104.175,0.999987,0.896922,41.8455,36.6284,1138.63,1,
cheetah,rotary,10,21.4526,0.471486,109.084,0.999863,0.935791,42.4005,37.5731,1139.5,1,
cheetah,rotary,10,24.7005,0.542868,110.069,0.999998,0.935446,42.3721,38.2723,1141.14,1,
cheetah,rotary,10,28.44,0.625055,111.323,0.999999,0.972327,42.3508,38.9841,1144.19,1,
cheetah,rotary,10,32.7457,0.719686,110.979,0.999975,0.955171,42.3441,38.2501,1146.52,1,
cheetah,rotary,10,37.7032,0.828642,108.409,0.999997,0.923302,42.3815,37.5504,1148.95,1,
cheetah,rotary,10,43.4113,0.954095,107.822,0.999864,0.915553,42.3613,37.5357,1149.93,1,
cheetah,rotary,10,49.9836,1.09854,105.393,0.998998,0.895715,40.9078,35.7145,1155.29,1,
cheetah,rotary,10,57.5509,1.26485,110.25,0.999999,0.950255,42.2967,33.7006,1160.3,1,
cheetah,rotary,10,66.2639,1.45635,109.83,0.999718,0.952893,42.2942,33.7112,1164.07,1,
cheetah,rotary,10,76.2959,1.67683,109.575,0.999985,0.951245,42.2863,33.7149,1166.87,1,
cheetah,rotary,10,87.8467,1.9307,109.344,0.999999,0.949689,40.4713,33.7976,1170.51,1,
cheetah,rotary,10,101.146,2.223,108.88,0.999999,0.944343,39.7777,33.8546,1173.05,1,
cheetah,rotary,10,116.459,2.55955,108.004,0.999909,0.938047,39.8544,33.2052,1175.12,1,
cheetah,rotary,10,134.091,2.94705,107.047,0.999996,0.9264,39.1713,33.2781,1177.15,1,
cheetah,rotary,10,154.392,3.39322,106.547,1,0.929849,34.8869,32.6504,1177.59,1,
cheetah,rotary,10,177.766,3.90694,105.118,0.999996,0.922606,35.0161,32.3947,1177.31,1,
cheetah,rotary,10,204.679,4.49843,101.192,0.999965,0.876882,34.4379,30.293,1170.6,1,
cheetah,rotary,10,235.666,5.17947,96.0644,0.997201,0.842184,33.002,27.696,1167.67,1,
cheetah,rotary,10,271.345,5.96362,94.7683,0.999579,0.829442,32.2696,27.7082,1163.66,1,
cheetah,rotary,10,312.425,6.86649,90.5924,0.999999,0.781695,29.1309,27.2216,1156.85,1,
cheetah,rotary,10,359.725,7.90604,86.3613,0.996925,0.754282,28.2709,27.1144,1160.39,1,
cheetah,rotary,10,414.186,9.10298,81.6843,0.974183,0.725995,27.0564,24.7166,1156.6,1,
cheetah,rotary,10,476.892,10.4811,88.1103,1,0.764546,26.5192,25.325,1182.5,1,
cheetah,rotary,10,549.091,12.0679,83.3272,0.999966,0.675476,24.7689,23.9633,1186.48,1,
cheetah,rotary,10,632.22,13.895,79.2539,0.999998,0.711113,26.7825,23.1378,1111.86,1,
cheetah,rotary,10,727.936,15.9986,78.9787,0.999997,0.704706,26.7339,23.0433,1093.52,1,
cheetah,rotary,10,838.142,18.4207,79.5475,0.999989,0.705988,30.2269,23.8524,1067.71,1,
cheetah,rotary,10,965.033,21.2095,82.5167,0.999543,0.74824,28.6873,27.8396,1011.45,1,
cheetah,rotary,10,1111.13,24.4205,84.2603,0.999981,0.786137,33.1096,27.4125,986.317,1,
cheetah,rotary,10,1279.35,28.1177,85.2936,0.999998,0.833634,35.2367,29.078,969.038,1,
cheetah,rotary,10,1473.04,32.3746,86.5178,1,0.849069,35.2846,31.4183,958.036,1,
cheetah,rotary,10,1696.06,37.2759,87.1312,1,0.850811,37.0375,33.1676,948.348,1,
cheetah,rotary,10,1952.83,42.9193,88.4346,0.999996,0.868839,37.0426,34.0344,941.354,1,
cheetah,rotary,10,2248.48,49.4171,88.5644,0.999999,0.862637,37.9529,34.9443,937.409,1,
cheetah,rotary,10,2588.89,56.8987,90.853,1,0.9159,39.2499,36.2448,935.723,1,
cheetah,rotary,10,2980.83,65.5129,90.9841,0.999999,0.912798,38.3751,37.09,934.662,1,
cheetah,rotary,10,3432.12,75.4312,91.5663,0.999991,0.918924,38.338,37.0559,934.524,1,
