species,mass_kg,gait_type,target_speed_m/s,stiffness_Nm/rad,stiffness_normalised,return_status,unified_return_status,solver_success,iter_count,cost_total,cost_acceleration,cost_COT,stride_period_s,stride_length_m,achieved_avg_speed_m/s,n_phases,n_stance_phases,total_stance_time_s,flight_time_s,spine_peak_deg,spine_min_deg,spine_ROM_deg,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,notes
horse,545.18,transverse,8,914.176,1.67683,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,43,142.123,0.768012,141.355,0.521668,4.17334,8,8,7,0.334267,0.187401,31.4724,-15.4922,46.9646,0.202082,0.210254,0.228426,0.202011,
horse,545.18,transverse,8,1052.58,1.9307,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,43,142.797,0.731227,142.066,0.527365,4.21892,8,8,7,0.338284,0.189081,25.9461,-16.5216,42.4677,0.202817,0.212359,0.226282,0.201425,
horse,545.18,transverse,8,1211.93,2.223,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,38,142.429,0.720945,141.708,0.537728,4.30183,8,8,7,0.34673,0.190998,22.4633,-19.7724,42.2357,0.205629,0.217667,0.221503,0.197161,
horse,545.18,transverse,8,1395.41,2.55955,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,54,141.966,0.690227,141.276,0.542457,4.33965,8,8,7,0.350779,0.191678,22.6298,-21.3277,43.9575,0.206552,0.219765,0.220328,0.192771,
horse,545.18,transverse,8,1606.67,2.94705,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,12,141.743,0.669889,141.073,0.544233,4.35386,8,8,7,0.351874,0.192359,21.6077,-21.3332,42.9408,0.205889,0.219565,0.220358,0.193066,
horse,545.18,transverse,8,1849.92,3.39322,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,42,140.835,0.626515,140.209,0.551514,4.41211,8,8,7,0.357299,0.194215,22.3368,-22.1425,44.4792,0.207266,0.219664,0.21899,0.19252,
horse,545.18,transverse,8,2129.99,3.90694,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,6,141.499,0.608195,140.891,0.551523,4.41219,8,8,7,0.357542,0.193982,21.3022,-20.4567,41.7589,0.207619,0.218962,0.22029,0.192722,
horse,545.18,transverse,8,2452.46,4.49843,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,24,139.448,0.574324,138.874,0.555718,4.44574,8,8,7,0.359745,0.195973,21.3938,-19.0804,40.4742,0.207552,0.218307,0.219608,0.192052,
horse,545.18,transverse,8,2823.75,5.17947,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,65,127.979,0.499319,127.48,0.548744,4.38995,8,8,7,0.401309,0.147435,24.1619,-14.4765,38.6384,0.238456,0.210331,0.20515,0.200589,
horse,545.18,transverse,8,3251.25,5.96362,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,32,126.822,0.477571,126.345,0.547983,4.38387,8,8,7,0.400406,0.147577,22.7546,-14.1308,36.8853,0.23701,0.209984,0.206276,0.201613,
horse,545.18,transverse,8,3743.47,6.86649,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,34,125.845,0.454555,125.39,0.546523,4.37219,8,8,7,0.399127,0.147396,21.2449,-13.3526,34.5976,0.234915,0.209584,0.207753,0.203157,
horse,545.18,transverse,8,4310.22,7.90604,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,38,125.081,0.443023,124.638,0.546719,4.37376,8,8,7,0.399023,0.147697,19.7748,-12.3459,32.1207,0.234192,0.209339,0.207871,0.203738,
horse,545.18,transverse,8,4962.76,9.10298,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,27,124.748,0.430752,124.317,0.546179,4.36944,8,8,7,0.39847,0.14771,18.4562,-11.1287,29.5849,0.233689,0.209174,0.207948,0.204403,
horse,545.18,transverse,8,5714.1,10.4811,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,51,123.908,0.409322,123.498,0.545016,4.36013,8,8,7,0.396753,0.148263,17.3139,-10.6122,27.9262,0.230441,0.208267,0.208994,0.206391,
horse,545.18,transverse,8,6579.19,12.0679,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,18,123.421,0.386787,123.034,0.543649,4.34919,8,8,7,0.395095,0.148554,16.0143,-9.73425,25.7485,0.226578,0.207579,0.21006,0.20832,
horse,545.18,transverse,8,7575.25,13.895,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,17,123.085,0.377304,122.707,0.543403,4.34723,8,8,7,0.394831,0.148572,14.7407,-8.82675,23.5675,0.2254,0.20749,0.210017,0.209331,
horse,545.18,transverse,8,8722.11,15.9986,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,32,122.835,0.369397,122.465,0.543104,4.34483,8,8,7,0.394564,0.14854,13.5924,-7.91304,21.5054,0.224624,0.207418,0.209787,0.210298,
horse,545.18,transverse,8,10042.6,18.4207,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,38,122.488,0.355676,122.132,0.542463,4.3397,8,8,7,0.393786,0.148677,12.4558,-7.25004,19.7058,0.221908,0.206826,0.209866,0.211965,
