species,mass_kg,gait_type,target_speed_m/s,stiffness_Nm/rad,stiffness_normalised,return_status,unified_return_status,solver_success,iter_count,cost_total,cost_acceleration,cost_COT,stride_period_s,stride_length_m,achieved_avg_speed_m/s,n_phases,n_stance_phases,total_stance_time_s,flight_time_s,spine_peak_deg,spine_min_deg,spine_ROM_deg,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,notes
cheetah,45.5,transverse,8,101.146,2.223,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,14,54.7701,16.4299,38.3402,0.332567,2.66053,8,8,7,0.196587,0.135979,-3.5911,-28.0932,24.5021,0.203451,0.167874,0.192152,0.208085,
cheetah,45.5,transverse,8,116.459,2.55955,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,26,54.5663,16.4824,38.0839,0.329283,2.63427,8,8,7,0.196004,0.133279,0.482896,-28.075,28.5579,0.20608,0.169337,0.193218,0.208826,
cheetah,45.5,transverse,8,134.091,2.94705,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,19,54.3974,16.5252,37.8721,0.328516,2.62813,8,8,7,0.195751,0.132765,1.55513,-28.3199,29.875,0.206494,0.169189,0.193804,0.20902,
cheetah,45.5,transverse,8,154.392,3.39322,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,81,54.1659,16.5906,37.5753,0.326088,2.6087,8,8,7,0.19576,0.130328,4.52302,-28.3275,32.8506,0.208529,0.171286,0.194602,0.209913,
cheetah,45.5,transverse,8,177.766,3.90694,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,31,53.9126,16.6481,37.2645,0.324814,2.59851,8,8,7,0.19547,0.129344,6.41037,-28.3313,34.7417,0.20925,0.171956,0.195167,0.210147,
cheetah,45.5,transverse,8,204.679,4.49843,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,24,53.6184,16.7378,36.8806,0.322909,2.58328,8,8,7,0.195111,0.127798,8.77657,-28.2442,37.0208,0.210221,0.173396,0.195783,0.21064,
cheetah,45.5,transverse,8,235.666,5.17947,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,31,53.295,16.8115,36.4835,0.321321,2.57057,8,8,7,0.194662,0.126659,10.3374,-27.8393,38.1767,0.210797,0.174232,0.196442,0.211076,
cheetah,45.5,transverse,8,271.345,5.96362,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,26,52.9567,16.8798,36.0769,0.319703,2.55762,8,8,7,0.19413,0.125573,11.5742,-27.2691,38.8432,0.211555,0.174537,0.197155,0.211647,
cheetah,45.5,transverse,8,312.425,6.86649,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,45,52.6009,16.9834,35.6174,0.317655,2.54124,8,8,7,0.193519,0.124136,13.052,-26.3793,39.4313,0.211919,0.17569,0.197873,0.212615,
cheetah,45.5,transverse,8,359.725,7.90604,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,40,52.243,17.0697,35.1733,0.315683,2.52546,8,8,7,0.19289,0.122793,13.8279,-25.129,38.9568,0.212445,0.176576,0.198358,0.213711,
cheetah,45.5,transverse,8,414.186,9.10298,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,22,51.8966,17.1802,34.7164,0.313539,2.50831,8,8,7,0.192029,0.12151,14.2202,-23.6097,37.8299,0.21292,0.177492,0.198935,0.214474,
cheetah,45.5,transverse,8,476.892,10.4811,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,27,51.5753,17.2794,34.296,0.311463,2.4917,8,8,7,0.191023,0.12044,14.3294,-21.9106,36.2399,0.213103,0.178517,0.199178,0.21515,
cheetah,45.5,transverse,8,549.091,12.0679,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,35,51.2903,17.3891,33.9012,0.309558,2.47646,8,8,7,0.190013,0.119545,14.1889,-20.0593,34.2483,0.213068,0.179192,0.19949,0.215894,
cheetah,45.5,transverse,8,632.22,13.895,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,22,51.0482,17.5079,33.5403,0.307548,2.46038,8,8,7,0.189218,0.11833,13.795,-18.2654,32.0604,0.213851,0.17979,0.199912,0.216787,
cheetah,45.5,transverse,8,727.936,15.9986,Solve_Succeeded,SOLVER_RET_UNKNOWN,1,26,50.8592,17.6417,33.2175,0.305334,2.44267,8,8,7,0.188691,0.116643,13.2582,-16.4938,29.752,0.215171,0.180735,0.200318,0.218266,
